metric,baseline_mean,baseline_std,proposed_mean,proposed_std,delta_proposed_minus_baseline_mean,delta_proposed_minus_baseline_std,proposed_over_baseline_ratio,paired_seed_count
train_secret_recovery_bucket_acc,0.375,0.125,0.3125,0.1875,-0.0625,0.0625,0.8333333333333334,2
orig_effective_noise_std,1.0049015691829695,0.10568315856183441,1.0049015691829695,0.10568315856183441,0.0,0.0,1.0,2
train_effective_noise_std,1.0080386308706895,0.03028935199406979,1.0080386308706895,0.03028935199406979,0.0,0.0,1.0,2
test_effective_noise_std,0.9927091837178825,0.059515951115438115,0.9927091837178825,0.059515951115438115,0.0,0.0,1.0,2
setup_region_occupancy_entropy,,,1.913458192458391,0.009390883147427864,,,,0
setup_fraction_clipped_coordinates,,,0.00042724609375,0.000244140625,,,,0
setup_coordinate_variance_trace,,,6.224040826705239,0.864206646731497,,,,0
setup_total_coordinate_draws,,,16384.0,0.0,,,,0
sample_avg_abs_after_quantization_mean,,,0.61328125,0.01953125,,,,0
sample_avg_abs_after_quantization_std,,,0.20322583972439584,0.013139510652576486,,,,0
sample_avg_abs_after_quantization_min,,,0.25,0.0,,,,0
sample_avg_abs_after_quantization_max,,,1.0625,0.0625,,,,0
sample_avg_abs_before_quantization_mean,,,0.6426155793160326,0.020681653178478365,,,,0
sample_avg_abs_before_quantization_std,,,0.14729431771569046,0.019518779520863852,,,,0
sample_avg_abs_before_quantization_min,,,0.3207366190712021,0.07780337858987577,,,,0
sample_avg_abs_before_quantization_max,,,0.8900072143678499,0.062301685617721814,,,,0
sample_fraction_clipped_coordinates_mean,,,0.0,0.0,,,,0
sample_fraction_clipped_coordinates_std,,,0.0,0.0,,,,0
sample_fraction_clipped_coordinates_min,,,0.0,0.0,,,,0
sample_fraction_clipped_coordinates_max,,,0.0,0.0,,,,0
sample_occupied_quantization_levels_mean,,,3.15625,0.03125,,,,0
